item,distractor,d1,d2,d3
6,md,1,1,1
10,md,1,1,2
11,md,1,1,1
12,md,2,1,1
13,md,1,1,1
14,md,2,1,1
15,md,1,1,1
16,md,2,1,1
17,md,2,1,1
18,md,1,1,1
19,md,1,1,1
20,md,1,1,2
21,md,2,2,2
22,md,1,1,1
23,md,2,1,1
24,md,2,2,1
25,md,1,1,2
26,md,1,1,1
27,md,1,1,1
28,md,1,1,2
29,md,2,2,2
30,md,2,2,2
31,md,1,1,1
34,md,1,1,1
35,md,2,2,2
36,md,2,2,1
37,md,1,1,1
39,md,1,1,2
40,md,1,1,1
42,md,2,1,1
44,md,2,2,1
45,md,2,2,1
46,md,2,2,1
47,md,1,1,2
49,md,1,1,2
50,md,1,1,2
51,md,1,1,2
52,md,2,2,1
53,md,2,1,1
54,md,2,2,1
55,md,2,2,1
56,md,1,1,1
58,md,1,1,1
59,md,2,2,1
60,md,1,1,1
61,md,1,1,2
62,md,1,1,1
63,md,2,1,1
64,md,2,1,1
65,md,1,1,2
66,md,2,2,1
67,md,2,1,1
69,md,1,1,1
70,md,1,1,2
71,md,1,1,2
72,md,2,1,1
73,md,1,1,1
74,md,2,1,1
75,md,2,2,2
76,md,2,2,1
77,md,1,1,2
78,md,2,2,2
79,md,2,1,1
80,md,1,1,1
6,pd,2,2,2
10,pd,1,1,2
11,pd,2,2,2
12,pd,2,3,3
13,pd,2,2,2
14,pd,2,3,3
15,pd,2,2,2
16,pd,2,3,3
17,pd,2,3,3
18,pd,2,2,2
19,pd,2,2,2
20,pd,1,1,2
21,pd,4,4,4
22,pd,2,2,2
23,pd,2,3,3
24,pd,3,3,4
25,pd,1,1,2
26,pd,2,2,2
27,pd,2,2,2
28,pd,1,1,2
29,pd,4,4,4
30,pd,4,4,4
31,pd,2,2,2
34,pd,2,2,2
35,pd,4,4,4
36,pd,3,3,4
37,pd,2,2,2
39,pd,1,1,2
40,pd,2,2,2
42,pd,2,3,3
44,pd,3,3,4
45,pd,3,3,4
46,pd,3,3,4
47,pd,1,1,2
49,pd,1,1,2
50,pd,1,1,2
51,pd,1,1,2
52,pd,3,3,4
53,pd,2,3,3
54,pd,3,3,3
55,pd,3,3,3
56,pd,2,2,2
58,pd,2,2,2
59,pd,3,3,4
60,pd,2,2,2
61,pd,1,1,2
62,pd,1,1,1
63,pd,2,3,3
64,pd,2,2,2
65,pd,1,1,2
66,pd,4,4,4
67,pd,2,3,3
69,pd,2,2,2
70,pd,1,1,1
71,pd,1,1,2
72,pd,2,3,3
73,pd,2,2,2
74,pd,2,3,3
75,pd,4,4,4
76,pd,3,3,4
77,pd,1,1,2
78,pd,4,4,4
79,pd,2,3,3
80,pd,2,2,2
